city,state,lat,lng
Chula Vista,CA,32.6281,-117.0145
Eugene,OR,44.0563,-123.1173
Canton,OH,40.8075,-81.3677
Lubbock,TX,33.5659,-101.8878
Reading,PA,40.3400,-75.9267
Winter Haven,FL,28.0118,-81.7017
Salem,OR,44.9231,-123.0246
St. Petersburg,FL,27.7931,-82.6652
Lafayette,LA,30.2084,-92.0323
Laredo,TX,27.5629,-99.4875
Jersey City,NJ,40.7161,-74.0682
Concord,NC,35.3933,-80.6366
Columbus,GA,32.5100,-84.8771
Chandler,AZ,33.2826,-111.8516
McKinney,TX,33.2015,-96.6669
Scottsdale,AZ,33.6872,-111.8651
Killeen,TX,31.0754,-97.7296
Tallahassee,FL,30.4551,-84.2526
Peoria,IL,40.7520,-89.6153
Wilmington,NC,34.2100,-77.8866
Montgomery,AL,32.3473,-86.2666
Gilbert,AZ,33.3101,-111.7463
Glendale,AZ,33.5791,-112.2311
North Las Vegas,NV,36.2880,-115.0901
Chesapeake,VA,36.6778,-76.3024
Barnstable,MA,41.6722,-70.3599
Norfolk,VA,36.8945,-76.2590
Fremont,CA,37.5265,-121.9852
Kennewick,WA,46.1978,-119.1732
Garland,TX,32.9100,-96.6305
Irving,TX,32.8584,-96.9702
Visalia,CA,36.3276,-119.3269
Atlantic City,NJ,39.3797,-74.4527
Paradise,NV,36.0807,-115.1369
Nashua,NH,42.7491,-71.4910
Arlington,VA,38.8786,-77.1011
Hialeah,FL,25.8696,-80.3046
York,PA,39.9651,-76.7315
Evansville,IN,37.9881,-87.5341
Avondale,AZ,33.3858,-112.3236
Brownsville,TX,25.9980,-97.4565
Gulfport,MS,30.4271,-89.0703
Appleton,WI,44.2779,-88.3891
Bremerton,WA,47.5436,-122.7122
Hickory,NC,35.7425,-81.3230
Tacoma,WA,47.2431,-122.4531
San Bernardino,CA,34.1417,-117.2946
College Station,TX,30.5852,-96.2960
Kalamazoo,MI,42.2749,-85.5882
Thousand Oaks,CA,34.1914,-118.8755
Roanoke,VA,37.2785,-79.9580
Fontana,CA,34.0968,-117.4599
Moreno Valley,CA,33.9244,-117.2045
North Port,FL,27.0577,-82.1975
Fargo,ND,46.8652,-96.8292
Green Bay,WI,44.5150,-87.9896
Spring Valley,NV,36.0987,-115.2619
Amarillo,TX,35.1988,-101.8311
Portland,ME,43.6773,-70.2715
Santa Barbara,CA,34.4285,-119.7202
Gainesville,FL,29.6804,-82.3458
Olympia,WA,47.0417,-122.8959
Frisco,TX,33.1555,-96.8215
Yonkers,NY,40.9466,-73.8674
Norwich,CT,41.5495,-72.0882
Glendale,CA,34.1818,-118.2468
Huntington Beach,CA,33.6960,-118.0025
Deltona,FL,28.9050,-81.2137
Aurora,IL,41.7637,-88.2901
Tempe,AZ,33.3881,-111.9318
Overland Park,KS,38.8870,-94.6870
Grand Prairie,TX,32.6872,-97.0209
Sunrise Manor,NV,36.1785,-115.0490
Waco,TX,31.5598,-97.1881
Salinas,CA,36.6884,-121.6317
Waterbury,CT,41.5583,-73.0361
Clarksville,TN,36.5695,-87.3420
Cedar Rapids,IA,41.9665,-91.6782
Sioux Falls,SD,43.5397,-96.7320
Huntington,WV,38.4109,-82.4344
Ontario,CA,34.0393,-117.6064
Hagerstown,MD,39.6401,-77.7217
Erie,PA,42.1168,-80.0733
Vancouver,WA,45.6366,-122.5967
Nampa,ID,43.5845,-116.5631
Spartanburg,SC,34.9437,-81.9257
Gastonia,NC,35.2494,-81.1853
Fort Lauderdale,FL,26.1412,-80.1464
Lorain,OH,41.4409,-82.1840
Murfreesboro,TN,35.8492,-86.4119
High Point,NC,35.9907,-79.9938
Newport News,VA,37.1051,-76.5185
Rancho Cucamonga,CA,34.1248,-117.5666
Hemet,CA,33.7341,-116.9969
Santa Cruz,CA,36.9789,-122.0346
Danbury,CT,41.4016,-73.4710
Peoria,AZ,33.7844,-112.2989
Oceanside,CA,33.2247,-117.3083
Elk Grove,CA,38.4160,-121.3842
Pembroke Pines,FL,26.0128,-80.3382
Vallejo,CA,38.1133,-122.2358
Garden Grove,CA,33.7787,-117.9601
Enterprise,NV,36.0164,-115.2208
Medford,OR,42.3372,-122.8537
Cary,NC,35.7820,-78.8191
